"rank"|"name"|"box"|"date"
575|"Paranormal Activity 2"|83.564|2010-10-22
576|"Under Siege"|83.563|1992-10-09
577|"Airplane!"|83.454|1980-07-02
578|"Patriot Games"|83.287|1992-06-05
579|"Valkyrie"|83.077|2008-12-25
580|"Brokeback Mountain"|83.026|2005-12-09
581|"Disclosure"|83.015|1994-12-09
582|"Monster-in-Law"|82.888|2005-05-13
583|"Charlotte's Web"|82.725|2006-12-15
584|"Days of Thunder"|82.671|1990-06-27
585|"Cheaper by the Dozen 2"|82.57|2005-12-21
586|"Mr. Holland's Opus"|82.528|1995-01-19
587|"Dracula"|82.523|1992-11-13
588|"To Fly!"|82.5|1976-07-01
589|"Freddy vs. Jason"|82.5|2003-08-15
590|"Fried Green Tomatoes"|82.419|1991-12-27
591|"Are We There Yet?"|82.4|2005-01-21
592|"Bridge to Terabithia"|82.307|2007-02-16
593|"Star Trek: The Motion Picture"|82.258|1979-12-06
594|"The Pink Panther"|82.226|2006-02-10
595|"Beowulf"|82.162|2007-11-16
596|"Aliens"|81.843|1986-07-18
597|"Blade 2"|81.677|2002-03-22
598|"MASH"|81.6|1970-01-25
599|"Eight Below"|81.594|2006-02-17
600|"Payback"|81.517|1999-02-05
601|"Die Hard"|81.35|1988-07-13
602|"The Talented Mr. Ripley"|81.298|1999-12-25
603|"School of Rock"|81.258|2003-10-03
604|"21"|81.217|2008-03-28
605|"Police Academy"|81.199|1984-03-16
606|"Snow Dogs"|81.159|2002-01-18
607|"While You Were Sleeping"|81.057|1995-04-21
608|"Congo"|81.022|1995-06-09
609|"The Notebook"|81.002|2004-06-25
610|"Jimmy Neutron: Boy Genius"|80.936|2001-12-21
611|"Another 48 Hours"|80.819|1990-06-08
612|"Moonstruck"|80.641|1987-12-16
613|"Fiddler on the Roof"|80.5|1971-11-03
614|"48 Hours"|75.9|1982-12-08
615|"Alien Vs. Predator"|80.281|2004-08-13
616|"What Happens in Vegas"|80.272|2008-05-09
617|"The Dukes of Hazzard"|80.27|2005-08-05
618|"The Wedding Singer"|80.224|1998-02-13
619|"Nacho Libre"|80.198|2006-06-16
620|"Jumper"|80.17|2008-02-14
621|"The Texas Chainsaw Massacre"|80.148|2003-10-17
622|"Disturbia"|80.05|2007-04-13
623|"Footloose"|80.035|1984-02-17
624|"Cloverfield"|80.034|2008-01-18
625|"Dear John"|80.015|2010-02-05
626|"Knowing"|79.948|2009-03-20
627|"The Golden Child"|79.818|1986-12-12
628|"Eat, Pray, Love"|79.71|2010-08-13
629|"Earthquake"|79.7|1974-11-15
630|"WarGames"|79.568|1983-06-03
631|"The Day the Earth Stood Still"|79.364|2008-12-12
632|"Cape Fear"|79.092|1991-11-13
633|"Star Trek II: The Wrath of Khan"|78.913|1982-06-04
634|"Hannah Montana: The Movie"|78.899|2009-04-10
635|"Apocalypse Now"|78.8|1979-08-15
636|"City of Angels"|78.685|1998-04-10
637|"Teenage Mutant Ninja Turtles II: The Secret of the Ooze"|78.657|1991-03-22
638|"The English Patient"|78.651|1996-11-15
639|"A.I.: Artificial Intelligence"|78.617|2001-06-29
640|"Cocktail"|78.223|1988-07-29
641|"We Were Soldiers"|78.123|2002-08-20
642|"The Naked Gun: From the Files of Police Squad"|78.042|1988-12-02
643|"Man on Fire"|77.912|2004-04-23
644|"Backdraft"|77.869|1991-05-24
645|"Gangs of New York"|77.82|2002-12-20
646|"Free Willy"|77.699|1993-07-16
647|"Philadelphia"|77.446|1993-12-23
648|"Everest"|77.418|1998-03-06
649|"March of the Penguins"|77.413|2005-06-24
650|"The A-Team"|77.187|2010-06-11
651|"Where the Wild Things Are"|77.176|2009-10-16
652|"Space Station"|77.09|2002-04-19
653|"U-571"|77.086|2000-04-20
654|"The Terminal"|77.032|2004-06-18
655|"27 Dresses"|76.806|2008-01-18
656|"The Muppet Movie"|76.657|1979-06-22
657|"Training Day"|76.632|2001-10-05
658|"Poltergeist"|76.606|1982-06-04
659|"Father of the Bride Part 2"|76.594|1995-12-08
660|"Romancing the Stone"|76.572|1984-03-30
661|"Rugrats in Paris: The Movie"|76.508|2000-11-17
662|"Star Trek III: The Search for Spock"|76.471|1984-06-01
663|"Fantasia"|76.4|1942-01-06
664|"Knight and Day"|76.308|2010-06-23
665|"The Untouchables"|76.27|1987-06-03
666|"White Men Can't Jump"|76.254|1992-03-27
667|"Cocoon"|76.113|1985-06-21
668|"Conspiracy Theory"|76.081|1997-08-08
669|"The Ring Two"|76.032|2005-03-18
670|"The Jewel of the Nile"|75.973|1985-12-11
671|"Hellboy II: The Golden Army"|75.866|2008-07-11
672|"The Haunted Mansion"|75.818|2003-11-26
673|"The Family Man"|75.793|2000-12-22
674|"Star Trek: Generations"|75.671|1994-11-17
675|"You, Me and Dupree"|75.628|2006-07-14
676|"Braveheart"|75.61|1995-05-24
677|"The Rookie"|75.6|2002-03-29
678|"Barbershop"|75.594|2002-09-13
679|"Zombieland"|75.59|2009-10-02
680|"Any Given Sunday"|75.531|1999-12-22
681|"The Last of the Mohicans"|75.506|1992-09-25
682|"Constantine"|75.501|2005-02-18
683|"The Horse Whisperer"|75.384|1998-05-15
684|"Garfield: The Movie"|75.368|2004-06-11
685|"Ray"|75.306|2004-10-29
686|"The Exorcism of Emily Rose"|75.2|2005-09-09
687|"Coraline"|75.195|2009-02-06
688|"Old School"|75.15|2003-02-21
689|"Eragon"|75.03|2006-12-15
690|"Star Trek VI: The Undiscovered Country"|74.889|1991-12-03
691|"10"|74.865|1979-10-05
692|"The Prince of Tides"|74.788|1991-12-25
693|"Ladder 49"|74.541|2004-10-01
694|"Four Brothers"|74.484|2005-08-12
695|"Six Days, Seven Nights"|74.339|1998-06-12
696|"No Country for Old Men"|74.274|2007-11-21
697|"Sin City"|74.099|2005-04-01
698|"Along Came A Spider"|74.059|2001-04-06
699|"Ben-Hur"|74|1959-11-18
700|"The Secret of My Success"|66.996|1987-04-07
701|"Christmas With the Kranks"|73.702|2004-11-24
702|"Deep Blue Sea"|73.648|1999-07-30
703|"Law Abiding Citizen"|73.343|2009-10-16
704|"Beetlejuice"|73.327|1988-03-30
705|"Spirit: Stallion of the Cimarron"|73.28|2002-05-24
706|"Hollow Man"|73.209|2000-08-04
707|"Hotel for Dogs"|73.023|2009-01-16
708|"Barnyard: The Original Party Animals"|72.779|2006-08-04
709|"Jackass Number Two"|72.779|2006-09-22
710|"Due Date"|72.669|2010-11-05
711|"The Jerk"|72.6|1979-12-14
712|"I Know What You Did Last Summer"|72.586|1997-10-17
713|"Vantage Point"|72.55|2008-02-22
714|"The Interpreter"|72.515|2005-04-22
715|"Ace Ventura: Pet Detective"|72.217|1994-02-04
716|"Dinner for Schmucks"|72.215|2010-07-30
717|"The Cannonball Run"|72.18|1981-06-19
718|"Get Shorty"|72.102|1995-10-20
719|"Michael Jackson's This Is It"|72.091|2009-10-28
720|"Fred Claus"|72.001|2007-11-09
721|"My Fair Lady"|72|1964-10-21
722|"1408"|71.912|2007-06-22
723|"Ruthless People"|71.625|1986-06-27
724|"Three Men and a Little Lady"|71.609|1990-11-21
725|"Galaxy Quest"|71.584|1999-12-25
726|"Stargate"|71.567|1994-10-28
727|"Bridget Jones's Diary"|71.543|2001-04-13
728|"Grumpier Old Men"|71.519|1995-12-22
729|"The Bridges of Madison County"|71.517|1995-06-02
730|"Sideways"|71.502|2004-10-22
731|"RV"|71.402|2006-04-28
732|"I Love You, Man"|71.347|2009-03-20
733|"Christmas Vacation"|71.32|1989-12-01
734|"Chocolat"|71.31|2001-01-05
735|"The Spiderwick Chronicles"|71.301|2008-02-14
736|"Scary Movie 2"|71.277|2001-07-04
737|"Rocky II"|71.2|1979-06-15
738|"The Score"|71.108|2001-07-13
739|"Turner and Hooch"|71.08|1989-07-28
740|"John Q"|71.027|2002-02-15
741|"Bird on a Wire"|70.978|1990-05-18
742|"Groundhog Day"|70.907|1993-02-12
743|"Shallow Hal"|70.839|2001-11-09
744|"Broken Arrow"|70.77|1996-02-09
745|"Any Which Way You Can"|70.687|1980-12-17
746|"All the President's Men"|70.6|1976-04-09
747|"V for Vendetta"|70.503|2006-03-17
748|"Mortal Kombat"|70.454|1995-08-18
749|"JFK"|70.405|1991-12-20
750|"Shaft"|70.334|2000-06-16
751|"World Trade Center"|70.279|2006-08-09
752|"Rocky Balboa"|70.27|2006-12-20
753|"Fool's Gold"|70.224|2008-02-08
754|"Star Trek: Insurrection"|70.188|1998-12-11
755|"Grumpy Old Men"|70.173|1993-12-25
756|"Big Momma's House 2"|70.164|2006-01-27
757|"Ferris Bueller's Day Off"|70.136|1986-06-11
758|"Kill Bill Vol. 1"|70.098|2003-10-10
759|"Blade"|70.088|1998-08-19
760|"The Golden Compass"|70.084|2007-12-07
761|"Boomerang"|70.052|1992-07-01
762|"Born on the 4th of July"|70.002|1989-12-20
763|"Seven Pounds"|69.952|2008-12-19
764|"Private Benjamin"|69.847|1980-10-07
765|"Splash"|69.821|1984-03-09
766|"Swordfish"|69.773|2001-06-08
767|"The Best Little Whorehouse in Texas"|69.702|1982-07-23
768|"The Kid"|69.692|2000-05-19
769|"Nine Months"|69.685|1995-07-12
770|"Divine Secrets Of The Ya-Ya Sisterhood"|69.599|2002-06-07
771|"The Good Shepherd"|69.486|2006-12-22
772|"Hot Shots!"|69.468|1991-07-31
773|"Thomas Crown Affair"|69.305|1999-08-06
774|"Vertical Limit"|69.244|2000-12-08
775|"White Chicks"|69.149|2004-06-23
776|"Lost In Space"|69.118|1998-04-03
777|"Cool Runnings"|68.856|1993-10-01
778|"Witness"|68.707|1985-02-08
779|"Sahara"|68.642|2005-04-08
780|"Road Trip"|68.541|2000-05-19
781|"Purple Rain"|68.393|1984-07-27
782|"Bring It On"|68.379|2000-08-25
783|"Obsessed"|68.312|2009-04-24
784|"Blue Streak"|68.209|1999-09-17
785|"Guess Who"|67.962|2005-03-25
786|"Octopussy"|67.894|1983-06-10
787|"Outbreak"|67.66|1995-03-06
788|"Sudden Impact"|67.643|1983-12-08
789|"A Perfect Murder"|67.638|1998-06-05
790|"Heat"|67.437|1995-12-15
791|"Insomnia"|67.356|2002-05-24
792|"Holes"|67.326|2003-04-18
793|"Hidalgo"|67.287|2004-03-05
794|"Role Models"|67.266|2008-11-07
795|"Coach Carter"|67.253|2005-01-14
796|"Coal Miner's Daughter"|67.183|1980-03-07
797|"Race to Witch Mountain"|67.128|2009-03-13
798|"Dante's Peak"|67.128|1997-02-07
799|"Waiting to Exhale"|67.052|1995-12-22
800|"102 Dalmatians"|66.957|2000-11-22
801|"End of Days"|66.889|1999-11-24
802|"The Mexican"|66.809|2001-03-02
803|"Changing Lanes"|66.802|2002-04-12
804|"Uncle Buck"|66.759|1989-08-16
805|"Kangaroo Jack"|66.736|2003-01-17
806|"The Godfather: Part III"|66.666|1990-12-25
807|"The Forgotten"|66.641|2004-09-24
808|"Legends of the Fall"|66.639|1994-12-16
809|"Charlie Wilson's War"|66.636|2007-12-21
810|"The Bone Collector"|66.519|1999-11-05
811|"The League of Extraordinary Gentlemen"|66.463|2003-07-11
812|"The Final Destination"|66.373|2009-08-28
813|"Kill Bill Vol. 2"|66.372|2004-04-16
814|"Bowfinger"|66.365|1999-08-13
815|"The Bounty Hunter"|66.311|2010-03-19
816|"The Parent Trap"|66.304|1998-07-31
817|"Big Fish"|66.257|2003-12-10
818|"Smokey and the Bandit II"|66.133|1980-08-15
819|"Herbie: Fully Loaded"|66.002|2005-06-22
820|"The Manchurian Candidate"|65.949|2004-07-30
821|"Anaconda"|65.886|1997-04-11
822|"Bad Boys"|65.807|1995-04-07
823|"Ever After"|65.706|1998-07-31
824|"Stakeout"|65.673|1987-08-05
825|"Lara Croft Tomb Raider: The Cradle Of Life"|65.654|2003-07-25
826|"Deuce Bigalow: Male Gigolo"|65.539|1999-12-10
827|"The Ten Commandments"|65.5|1956-10-05
828|"The Taking of Pelham 1 2 3"|65.452|2009-06-12
829|"Step Up"|65.328|2006-08-11
830|"Hannah Montana & Miley Cyrus: Best of Both Worlds Concert Tour"|65.28|2008-02-01
831|"Lethal Weapon"|65.207|1987-01-01
832|"Barbershop 2: Back In Business"|65.189|2004-02-06
833|"Wolf"|65.012|1994-06-17
834|"About Schmidt"|65.011|2002-12-13
835|"Antarctica"|65|2008-11-28
836|"Song of the South"|65|1946-11-12
837|"The International"|61.811|2009-02-13
838|"Staying Alive"|64.893|1983-07-11
839|"Stuart Little 2"|64.801|2002-07-26
840|"Mr. Mom"|64.784|1983-07-22
841|"The Amityville Horror"|64.664|2005-04-15
842|"L.A. Confidential"|64.617|1997-09-19
843|"The Happening"|64.502|2008-06-13
844|"Flushed Away"|64.489|2006-11-03
845|"Field of Dreams"|64.432|1989-04-21
846|"Miracle"|64.371|2004-02-06
847|"Mona Lisa Smile"|64.362|2003-12-19
848|"Jackass: The Movie"|64.269|2002-10-25
849|"Down to Earth"|64.172|2001-02-16
850|"17 Again"|64.15|2009-04-17
851|"Deja Vu"|64.035|2006-11-22
852|"Diary of a Wimpy Kid"|64.001|2010-03-19
853|"Sky High"|63.939|2005-07-29
854|"Life"|63.886|1999-04-16
855|"In & Out"|63.857|1997-09-19
856|"The Fifth Element"|63.82|1997-05-09
857|"Working Girl"|63.779|1988-12-21
858|"The Witches of Eastwick"|63.767|1987-06-12
859|"What About Bob?"|63.708|1991-05-17
860|"Babe"|63.659|1995-08-04
861|"Thunderball"|63.6|1965-12-21
862|"Alien"|63.594|1979-05-25
863|"Risky Business"|63.542|1983-08-05
864|"A Fish Called Wanda"|63.494|1988-07-29
865|"Dirty Dancing"|63.446|1987-08-21
866|"Miami Vice"|63.438|2006-07-28
867|"Tango & Cash"|63.409|1989-12-22
868|"She's All That"|63.367|1999-01-29
869|"The Holiday"|63.28|2006-12-08
870|"Dave"|63.271|1993-05-07
871|"Saw IV"|63.27|2007-10-26
872|"Tyler Perry's Madea's Family Reunion"|63.232|2006-02-24
873|"The Time Traveler's Wife"|63.214|2009-08-14
874|"Rising Sun"|63.18|1993-07-30
875|"A Star is Born"|63.13|1976-12-17
876|"Beavis and Butt-Head Do America"|63.118|1996-12-20
877|"Scent of a Woman"|63.095|1992-12-23
878|"A Nightmare on Elm Street"|63.06|2010-04-30
879|"Forgetting Sarah Marshall"|63.002|2008-04-18
880|"The Last Song"|62.934|2010-03-31
881|"Moonraker"|62.7|1979-06-29
882|"Jarhead"|62.648|2005-11-04
883|"The Crying Game"|62.549|1992-11-25
884|"The Fast and the Furious: Tokyo Drift"|62.514|2006-06-16
885|"Patton"|62.5|1970-02-04
886|"The Sorcerer's Apprentice"|62.499|2010-07-14
887|"Spy Game"|62.363|2001-11-21
888|"Underworld: Evolution"|62.319|2006-01-20
889|"Bewitched"|62.252|2005-06-24
890|"Down and Out in Beverly Hills"|62.134|1986-01-31
891|"The Wolfman"|61.937|2010-02-12
892|"Mouse Hunt"|61.917|1997-12-19
893|"The Electric Horseman"|61.802|1979-12-21
894|"Stomp the Yard"|61.7|2007-01-12
895|"Cinderella Man"|61.649|2005-06-03
896|"Flatliners"|61.489|1990-08-10
897|"Vacation"|61.4|1983-07-29
898|"The Goonies"|61.39|1985-06-07
899|"The Saint"|61.363|1997-04-04
900|"Rules of Engagement"|61.335|2000-04-07
901|"The Cell"|61.334|2000-08-18
902|"Misery"|61.277|1990-11-30
903|"Friday Night Lights"|61.188|2004-10-08
904|"The Shaggy Dog"|61.124|2006-03-10
905|"The Devil's Advocate"|60.945|1997-10-17
906|"Get Him to the Greek"|60.923|2010-06-04
907|"Mission to Mars"|60.883|2000-03-10
908|"Harlem Nights"|60.865|1989-11-17
909|"Coyote Ugly"|60.786|2000-08-04
910|"Poseidon"|60.656|2006-05-12
911|"Fantasia 2000"|60.655|2000-01-01
912|"Three Kings"|60.652|1999-10-01
913|"Jingle All the Way"|60.592|1996-11-22
914|"Kiss the Girls"|60.528|1997-10-03
915|"Shanghai Knights"|60.47|2003-02-07
916|"The Wedding Planner"|60.401|2001-01-26
917|"Burn After Reading"|60.339|2008-09-12
918|"The Amityville Horror"|60.308|1979-07-27
919|"Baby Mama"|60.269|2008-04-25
920|"The Cable Guy"|60.24|1996-06-14
921|"Spies Like Us"|60.089|1985-12-06
922|"Species"|60.074|1995-07-07
923|"The Family Stone"|60.062|2005-12-16
924|"Bad Santa"|60.058|2003-11-26
925|"Hope Floats"|60.053|1998-05-29
926|"The American President"|60.023|1995-11-17
927|"Tooth Fairy"|60.013|2010-01-22
928|"Snow Day"|60.008|2000-02-11
929|"The Longest Yard"|60|1974-08-21
930|"Bruno"|59.993|2009-07-10
931|"Superman III"|59.951|1983-06-17
932|"Jungle 2 Jungle"|59.928|1997-03-07
933|"Little Miss Sunshine"|59.891|2006-07-26
934|"Predator"|59.736|1987-06-12
935|"Why Did I Get Married Too?"|59.681|2010-04-02
936|"Gothika"|59.588|2003-11-21
937|"The Last Boy Scout"|59.51|1991-12-13
938|"My Girl"|59.49|1991-11-27
939|"The Stepford Wives"|59.476|2004-06-11
940|"Love Actually"|59.365|2003-11-07
941|"Radio"|59.206|2003-10-24
942|"Hellboy"|59.035|2004-04-02
943|"Courage Under Fire"|59.031|1996-07-12
944|"Chariots of Fire"|58.973|1981-10-09
945|"Dawn Of The Dead"|58.886|2004-03-19
946|"Far and Away"|58.884|1992-05-22
947|"Surf's Up"|58.868|2007-06-08
948|"Behind Enemy Lines"|58.857|2001-11-30
949|"Bride Wars"|58.703|2009-01-09
950|"Honey I Blew Up the Kid"|58.662|1992-07-17
951|"Jack"|58.621|1996-08-02
952|"Sea of Love"|58.572|1989-09-15
953|"Housesitter"|58.501|1992-06-12
954|"Funny Girl"|58.5|1968-09-19
955|"The Benchwarmers"|58.45|2006-04-07
956|"Death Becomes Her"|58.423|1992-07-31
957|"Anastasia"|58.406|1997-11-21
958|"Curious George"|58.386|2006-02-10
959|"Open Range"|58.329|2003-08-15
960|"Halloween"|58.267|2007-08-31
961|"Little Man"|58.255|2006-07-14
962|"Bicentennial Man"|58.224|1999-12-17
963|"Ali"|58.203|2001-12-25
964|"Without a Paddle"|58.156|2004-08-20
965|"Demolition Man"|58.056|1993-10-08
966|"Step Up 2 the Streets"|58.006|2008-02-14
967|"Throw Momma From The Train"|57.916|1987-12-11
968|"Shall We Dance?"|57.888|2004-10-15
969|"Red Eye"|57.859|2005-08-19
970|"Invincible"|57.807|2006-08-25
971|"Cleopatra"|57.778|1963-06-12
972|"The Butterfly Effect"|57.762|2004-01-23
973|"Takers"|57.745|2010-08-27
974|"The Animal"|57.743|2001-06-01
975|"The Chronicles of Riddick"|57.637|2004-06-11
976|"The Cider House Rules"|57.545|1999-12-10
977|"Easy A"|57.539|2010-09-17
978|"Boyz N the Hood"|57.504|1991-07-12
979|"Pet Sematary"|57.469|1989-04-21
980|"Dragnet"|57.388|1986-06-26
981|"Moulin Rouge"|57.387|2001-05-18
982|"Blood Diamond"|57.378|2006-12-08
983|"The Specialist"|57.363|1994-10-07
984|"Next Friday"|57.329|2000-01-12
985|"Sister Act 2: Back in the Habit"|57.319|1993-12-10
986|"The Godfather: Part II"|57.3|1974-12-12
987|"Willow"|57.27|1988-05-20
988|"The Whole Nine Yards"|57.262|2000-02-18
989|"Life is Beautiful"|57.247|1998-12-11
990|"The Blues Brothers"|57.23|1980-06-20
991|"U.S. Marshals"|57.167|1998-03-06
992|"What's Up Doc?"|57.143|1972-03-10
993|"12 Monkeys"|57.141|1995-01-05
994|"Unlawful Entry"|57.139|1992-06-26
995|"Beethoven"|57.114|1992-04-03
996|"Annie"|57.059|1982-05-21
997|"Beaches"|57.042|1988-12-21
998|"Message in a Bottle"|52.823|1999-02-12
999|"Resident Evil: Afterlife"|56.615|2010-09-10
1000|"Kicking and Screaming"|52.581|2005-05-13
